Membership No  Date Joined  Active  
   525343      2015-3-18    no    
   594528      2017-8-18    no    
   598695      2016-8-2     no    
   869548      2020-4-16    no    
   116303      2020-4-18    no    
   697454      2015-3-8     no    
   100232      2016-10-19   no    
   984756      2016-2-22    no    
   709158      2020-2-25    no    
   759106      2020-5-23    no    
   255846      2020-12-24   no    
   712708      2015-3-11    no    
   216789      2019-5-11    no    
   151727      2016-2-26    no    
   273993      2018-11-13   no    
   286442      2019-6-25    no    
   659948      2018-12-12   no    
   126238      2017-11-3    no    
   828439      2015-12-21   no    
   789689      2019-8-22    no    
   974422      2019-6-9     no    
   627828      2020-11-2    no    
   843431      2018-7-10    no    
   736546      2017-11-5    no    
   307084      2019-5-25    no    
   810313      2015-11-19   no    
   403892      2020-4-24    no    
   762504      2017-8-7     no    
   824046      2015-12-25   no    
   491619      2019-11-28   no    
   771773      2016-10-28   no    
   732689      2020-9-5     no    
   223641      2020-12-28   no    
