Membership No  Date Joined  Active  
   249780      2015-5-27    yes   
   938624      2020-8-10    yes   
   752383      2018-9-1     yes   
   490512      2020-1-8     yes   
   419526      2015-11-28   yes   
   852926      2016-8-9     yes   
   882644      2019-9-16    yes   
   610360      2020-3-20    yes   
   976447      2018-2-10    yes   
   689674      2020-11-10   yes   
   751411      2020-10-24   yes   
   316814      2020-10-14   yes   
   987114      2019-8-27    yes   
   373969      2016-6-2     yes   
   349586      2015-3-19    yes   
   663104      2017-11-24   yes   
   962256      2019-8-13    yes   
   145536      2016-2-22    yes   
   947506      2018-12-19   yes   
   843665      2015-11-5    yes   
   492832      2016-4-10    yes   
   381196      2019-12-1    yes   
   401930      2016-6-12    yes   
   967213      2017-5-2     yes   
   844753      2015-9-12    yes   
   656892      2019-7-3     yes   
   403853      2016-12-3    yes   
   368852      2020-7-3     yes   
   835202      2015-6-24    yes   
   654328      2020-12-1    yes   
   102030      2018-10-26   yes   
   247320      2017-2-8     yes   
